,player_name,school,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA_x,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,porpag,adjoe,pfr,year,pid,ast/tov,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,all_star,total_points,PPG,conference_B10,conference_B12,conference_BE,conference_Non_major,conference_P10,conference_P12,conference_SEC,Pos_F,Pos_G
242,Lorenzo Brown,North Carolina St.,33,80.4,103.5,24.7,44.9,50.94,2.4,11.4,36.7,23.6,108,140,0.7709999999999999,120,258,0.465,20,76,0.263,1.6,3.4,41.9,3,77,3.5387500000000003,113.825,2.3,2013,17642,2.0965118,52.0,100.419,96.2932,3.50198,219.878,4.68741,3.0582700000000003,1.62914,4.9639999999999995,34.2121,3.093,1.871,0,408,12.36,0,0,0,0,0,0,0,0,1
243,Bernard James,Florida St.,35,68.9,106.8,20.2,60.6,60.17,13.6,19.7,3.6,21.7,64,116,0.552,157,259,0.606,0,0,0.0,9.5,1.6,44.8,4,82,2.6773700000000002,112.32700000000001,2.8,2012,17913,0.21915904,33.0,87.9861,83.5886,4.09187,222.25400000000002,7.87392,1.7655299999999998,6.10839,6.859,27.9714,3.498,3.361,0,378,10.8,0,0,0,0,0,0,0,1,0
244,Dwight Powell,Stanford,36,80.8,101.3,26.8,47.5,52.69,7.3,17.3,20.4,19.6,145,211,0.687,165,340,0.485,10,39,0.256,2.8,2.4,55.7,4,82,3.02066,114.63,3.9,2014,17946,1.07691509,45.0,98.4977,93.3368,4.07434,236.615,5.15377,1.38331,3.77046,4.658,32.4167,2.161,2.497,0,505,14.03,0,0,0,0,0,1,0,1,0
245,Jared Sullinger,Ohio St.,37,72.0,117.8,27.3,53.8,59.11,12.5,24.0,8.6,13.7,175,228,0.768,212,399,0.531,16,40,0.4,4.0,2.3,51.9,2,81,5.35069,135.153,3.9,2012,18035,0.64787118,21.0,85.165,79.3279,4.95219,259.85400000000004,10.3152,5.71623,4.59893,11.267999999999999,30.3514,7.292000000000001,3.9760000000000004,0,647,17.49,1,0,0,0,0,0,0,1,0
246,Jeremy Lamb,Connecticut,34,92.1,115.4,22.2,55.6,58.95,3.0,11.1,10.1,15.0,98,121,0.81,146,243,0.601,71,211,0.336,1.7000000000000002,2.1,26.7,2,77,5.10145,124.26700000000001,1.8,2012,18051,0.8529500000000001,12.0,101.52799999999999,96.2073,3.8519699999999997,207.755,6.58455,5.4916599999999995,1.09289,6.845,37.2353,5.377000000000001,1.4680000000000002,0,603,17.74,0,0,1,0,0,0,0,0,1
247,Deshaun Thomas,Ohio St.,37,88.1,114.3,27.0,50.7,55.17,5.8,14.0,8.6,9.1,141,169,0.8340000000000001,188,375,0.501,72,209,0.34400000000000003,1.0,0.9,28.9,3,79,5.96636,132.66899999999998,1.7000000000000002,2013,18055,0.9230824000000001,58.0,96.2845,90.84700000000001,4.2891900000000005,206.442,5.75305,5.88379,-0.130733,7.821000000000001,35.3784,7.206,0.615,0,733,19.81,1,0,0,0,0,0,0,1,0
248,Brandon Knight,Kentucky,38,89.4,107.8,26.7,50.8,55.28,2.2,10.2,23.4,19.8,136,171,0.795,130,282,0.461,87,231,0.377,0.6000000000000001,1.1,33.3,1,75,4.731730000000001,123.069,2.4,2011,18154,1.32499446,8.0,100.305,94.5951,4.01095,204.602,4.4604099999999995,4.58816,-0.127745,5.3420000000000005,35.8684,4.6610000000000005,0.6809999999999999,0,657,17.29,0,0,0,0,0,0,1,0,1
249,Carrick Felix,Arizona St.,35,86.7,110.3,20.7,56.9,58.61,7.1,18.5,9.6,16.1,81,122,0.664,137,239,0.5730000000000001,52,139,0.374,3.2,2.4,32.3,4,78,3.65829,114.315,3.4,2013,18207,0.8143,33.0,95.09299999999999,92.0928,4.06723,261.508,6.13938,3.6665699999999997,2.47281,5.513999999999999,35.2857,3.56,1.954,0,511,14.6,0,0,0,0,0,1,0,0,1
250,Perry Jones III,Baylor,32,66.6,110.6,22.6,51.0,53.61,10.8,18.6,8.8,14.4,71,102,0.6960000000000001,169,328,0.515,10,33,0.303,2.1,1.7000000000000002,28.3,2,83,3.86615,120.539,3.1,2012,18374,0.75928889,28.0,96.8961,90.4005,3.84024,188.83700000000002,4.74937,3.2608900000000003,1.48848,5.015,30.9063,4.13,0.885,0,439,13.72,0,1,0,0,0,0,0,1,0
251,Josh Huestis,Stanford,36,87.6,107.8,17.9,48.8,50.96,8.8,18.4,6.8,11.2,64,102,0.627,130,269,0.483,26,77,0.33799999999999997,5.9,1.0,29.5,4,79,2.65382,109.507,2.4,2014,18382,1.0,29.0,99.6274,94.4074,4.28979,245.778,5.288959999999999,1.31185,3.9771099999999997,4.093,35.1667,2.197,1.896,0,402,11.17,0,0,0,0,0,1,0,1,0
252,Markel Brown,Oklahoma St.,34,86.4,118.2,22.5,54.1,59.09,3.5,12.9,16.9,11.6,149,194,0.768,135,257,0.525,55,145,0.379,3.1,1.6,48.3,4,75,4.74373,127.23899999999999,2.9,2014,18415,1.80007418,44.0,99.2219,94.435,4.22725,215.685,7.22255,4.79265,2.4299,7.954,35.3235,5.566,2.388,0,584,17.18,0,1,0,0,0,0,0,0,1
253,Victor Oladipo,Indiana,36,70.4,122.7,22.6,64.8,67.12,11.7,14.0,15.2,21.1,97,130,0.746,152,236,0.644,30,68,0.441,2.8,4.6,42.8,3,77,4.92927,134.339,3.5,2013,18513,0.90244973,2.0,85.8364,81.39,4.35053,246.196,15.5898,9.10036,6.48945,13.448,28.3611,8.435,5.013,1,491,13.64,1,0,0,0,0,0,0,0,1
254,Shabazz Napier,Connecticut,40,87.2,115.9,28.1,51.7,59.11,3.4,15.0,30.8,17.7,207,238,0.87,126,281,0.44799999999999995,87,215,0.405,1.0,3.2,48.0,4,73,5.63514,134.239,2.4,2014,18516,1.71052632,24.0,93.6766,89.1857,4.90187,280.829,10.9179,7.14315,3.77475,11.040999999999999,35.1,7.269,3.772,0,720,18.0,0,0,0,1,0,0,0,0,1
255,Lamar Patterson,Pittsburgh,36,80.1,112.7,28.4,52.8,56.92,3.8,14.5,29.9,17.7,132,175,0.754,122,252,0.484,80,206,0.38799999999999996,1.2,2.8,38.2,4,77,4.8581900000000005,131.398,2.5,2014,18530,1.6559439500000002,48.0,96.5636,92.8733,4.09089,209.71400000000003,10.3197,7.05019,3.2694799999999997,10.307,32.5833,7.61,2.697,0,616,17.11,0,0,0,0,0,0,0,0,1
256,Kyrie Irving,Duke,11,20.5,130.5,27.2,61.5,69.7,2.3,10.6,29.8,18.6,64,71,0.9009999999999999,37,65,0.5690000000000001,18,39,0.462,1.8,3.0,68.3,1,74,6.12884,149.048,3.0,2011,18579,1.74076187,1.0,91.7011,87.1588,3.80115,61.4034,12.4609,9.66412,2.79681,13.719000000000001,27.5455,9.747,3.972,1,192,17.45,0,0,0,0,0,0,0,0,1
257,Gorgui Dieng,Louisville,33,63.1,112.6,18.2,53.4,56.23,12.9,22.1,12.3,18.9,73,112,0.652,125,234,0.534,0,0,0.0,9.4,2.6,47.9,3,83,3.55453,117.475,3.3,2013,18642,1.1186308,21.0,81.001,76.17699999999999,5.26508,252.025,13.535,3.7831699999999997,9.75182,10.453,31.0909,4.988,5.465,0,323,9.79,0,0,1,0,0,0,0,0,0
